name,disability_focus,location,phone,email,website,description
"Disability Rights Advocacy Center (DRAC)","all disabilities","Abuja (national helpline)","08000-3000-100","info@drac-ng.org","https://drac-ng.org","Operates the national disability helpline (toll-free + WhatsApp); legal aid and rights advocacy."
"Joint National Association of Persons with Disabilities (JONAPWD)","all disabilities","Abuja (national, state chapters)","+234-(0)9063322622; 09115970958","info@jonapwd.org","https://www.jonapwd.org","Umbrella body of disability clusters across Nigeria; policy advocacy and member referrals."
"Centre for Citizens with Disabilities (CCD)","all disabilities","Lagos (national advocacy)","+234 (0) 815 720 5555; toll-free 0800 2236 443","info@ccdnigeria.org","https://ccdnigeria.org","Research, civic participation and inclusive-governance programmes for PWDs."
"TAF Africa (The Albino Foundation)","albinism; visual impairment","Abuja (nationwide programmes)","0806 673 1702; 0806 789 8481","info@tafafrica.co","https://tafafrica.co","Albinism support, disability-inclusive democracy, publishes accessible civic materials."
"Nigerian Association of the Blind (NAB)","visual impairment","Lagos (state chapters)","+2348038078210; +2348026615415; +2348080502407","info@nigeriaassociationoftheblind.org","https://nigeriaassociationoftheblind.org","Membership association for blind persons; rehabilitation referrals and advocacy."
"Nigerian National Association of the Deaf (NNAD)","hearing impairment","Abuja (state chapters)","+2348030820991 (SMS/WhatsApp only)","nnadeaf@nnadeafhq.org","https://nnadeafhq.org","Deaf community association; sign-language promotion and member support."
"Irede Foundation","limb loss; physical disability","Lagos (nationwide outreach)","+2347003106060","info@theiredefoundation.org","https://theiredefoundation.org","Free prosthetic limbs for children; mobility and inclusion support."
"Down Syndrome Foundation Nigeria","intellectual disability (Down syndrome)","Lagos","+234-803-228-5545; +234-913-712-1182","Hello@downsyndrome.org.ng","https://downsyndrome.org.ng","Early intervention, schooling support and family resources for Down syndrome."
"Spinal Cord Injuries Association of Nigeria (SCIAN)","physical disability (spinal cord injury)","Lagos (state chapters)","08072914207","scian@scianigeria.com","https://scianigeria.com","Peer support, rehabilitation referrals and advocacy for spinal cord injury survivors."
"Mentally Aware Nigeria Initiative (MANI)","mental health; psychosocial disability","Lagos (online + onsite)","08091116264; 08111680686; crisis WhatsApp wa.me/2349168417413","info@mentallyaware.org","https://mentallyaware.org","Mental-health helpline, counselling referrals and anti-stigma programmes."
